year,full_name
2023,Zhou Qunfei
2023,Marcos Galperin
2023,Karin Sartorius-Herbst
2023,Xue Hua
2023,Karen Virginia Beckmann Legoretta
2023,Dong Jinggui
2023,Abdulla bin Ahmad Al Ghurair & family
2023,Chan Tan Ching-fen
2023,Christiane Schoeller
2023,Anna Katharina Viessmann
2023,Pan Laican
2023,Lai Jianping
2023,Li Haiyan
2023,Martin Bouygues
2023,Lam Wai-ying
2023,Melissa Ma
2023,Shu Ping
2023,Chen Qiongxiang
2023,Dong Fan
2023,Fritz Draexlmaier
2023,Shao Jianxiong
2023,Maike Oberwelland-Height
2023,Chen Kaichen
2023,Lai Jianfa
2023,Lu Di
2023,Bai Baokun
2023,Tseng Sing-ai
2023,Anne Marie See Pastor
2023,George Pastor
2023,Tan Lili
2023,Tang Rui
2023,Xu Zhenhua
2023,Justin Yuan
2023,Zhang Hong
2023,Guan Yihong
2023,Li Jinyang
2023,Liu Fangyi
2023,Tadako Nakatani
2023,Lillyn Teh Li Hua
2023,Charlwin Mao
2023,Lillian Teh Li Ming
2023,William Teh Lee Pang
2023,Diona Teh Li Shian
2023,Zong Yanmin
2023,Christine Knauf
2023,Karl Knauf
2023,Francesco Saputo
2023,Wang Fuji
2023,Cai Hongbin
2023,Cho Jyh-jer
2023,Carmen Daurella Aguilera
2023,Ruben Feffer
2023,Christian Herz
2023,Michaela Herz
2023,Chang Kuo-Ming
2023,Gabriella Meister
2023,R├®al Plourde
2023,Wang Jianfeng & family
